route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9948,1,6174570,California & Presidio,0,101,121435
9948,1,6174567,California & Presidio,0,154,121435
9948,1,6174566,California & Presidio,0,105,121435
9948,1,6174565,California & Presidio,0,153,121435
9948,1,6174564,California & Presidio,0,152,121435
9948,1,6174563,California & Presidio,0,104,121435
9948,1,6174562,California & Presidio,0,109,121435
9948,1,6174561,California & Presidio,0,103,121435
9948,1,6174559,California & Presidio,0,123,121435
9948,1,6174558,California & Presidio,0,107,121435
9948,1,6174557,California & Presidio,0,106,121435
9948,1,6174556,California & Presidio,0,116,121435
9948,1,6174555,California & Presidio,0,122,121435
9948,1,6174554,California & Presidio,0,114,121435
9948,1,6174553,California & Presidio,0,115,121435
9948,1,6174552,California & Presidio,0,113,121435
9948,1,6174551,California & Presidio,0,102,121435
9948,1,6174550,California & Presidio,0,112,121435
9948,1,6174549,California & Presidio,0,111,121435
9948,1,6174548,California & Presidio,0,110,121435
9948,1,6174547,California & Presidio,0,120,121435
9948,1,6174428,California & Presidio,0,119,121435
9948,1,6174426,California & Presidio,0,118,121435
9948,1,6174425,California & Presidio,0,117,121435
9948,1,6174592,California & Presidio,0,101,121435
9948,1,6174589,California & Presidio,0,105,121435
9948,1,6174586,California & Presidio,0,104,121435
9948,1,6174583,California & Presidio,0,103,121435
9948,1,6174580,California & Presidio,0,123,121435
9948,1,6174479,California & Presidio,0,108,121435
9948,1,6174569,California & Presidio,0,124,121435
9948,1,6174458,California & Presidio,0,121,121435
9948,1,6174471,California & Presidio,0,122,121435
9948,1,6174470,California & Presidio,0,108,121435
9948,1,6174454,California & Presidio,0,115,121435
9948,1,6174453,California & Presidio,0,103,121435
9948,1,6174452,California & Presidio,0,124,121435
9948,1,6174451,California & Presidio,0,123,121435
9948,1,6174450,California & Presidio,0,121,121435
9948,1,6174449,California & Presidio,0,120,121435
9948,1,6174448,California & Presidio,0,119,121435
9948,1,6174447,California & Presidio,0,118,121435
9948,1,6174446,California & Presidio,0,117,121435
9948,1,6174445,California & Presidio,0,115,121435
9948,1,6174383,California & Presidio,0,103,121435
9948,1,6174419,the Richmond District,0,117,121436
9948,1,6174418,the Richmond District,0,107,121436
9948,1,6174417,the Richmond District,0,114,121436
9948,1,6174416,the Richmond District,0,151,121436
9948,1,6174415,the Richmond District,0,117,121436
9948,1,6174414,the Richmond District,0,107,121436
9948,1,6174413,the Richmond District,0,114,121436
9948,1,6174412,the Richmond District,0,151,121436
9948,1,6174411,the Richmond District,0,119,121436
9948,1,6174410,the Richmond District,0,117,121436
9948,1,6174409,the Richmond District,0,107,121436
9948,1,6174408,the Richmond District,0,122,121436
9948,1,6174407,the Richmond District,0,114,121436
9948,1,6174406,the Richmond District,0,151,121436
9948,1,6174405,the Richmond District,0,110,121436
9948,1,6174404,the Richmond District,0,119,121436
9948,1,6174403,the Richmond District,0,117,121436
9948,1,6174402,the Richmond District,0,107,121436
